ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,96,1181,298,181,2003-07
2,95,1466,351,196,2003-10
3,95,1466,351,197,2004-01
4,95,1512,360,198,2004-04
5,96,1309,315,200,2004-07
6,96,1309,315,200,2004-10
7,95,474,119,133,2003-04
8,96,1628,390,216,2006-01
9,96,1377,346,202,2005-01
10,96,1488,348,203,2005-04
11,96,1615,386,215,2005-07
12,96,1628,390,216,2005-10
13,96,1644,395,216,2006-04
14,97,1893,466,248,2008-04
15,97,2087,507,267,2008-07
16,97,2139,517,270,2008-10
17,96,1639,396,219,2006-07
18,96,1693,417,223,2006-10
19,96,1698,418,223,2007-01
20,96,1729,425,225,2007-04
21,96,1733,426,229,2007-07
22,97,1824,450,240,2007-10
23,97,1824,450,240,2008-01
