ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,26,7,17,2003-07-01
2,0,26,7,17,2003-10-01
3,0,26,7,17,2004-01-01
4,0,32,9,19,2004-04-01
5,11,45,13,21,2004-07-01
6,11,45,13,21,2004-10-01
7,0,26,7,17,2003-04-01
8,54,55,16,23,2006-01-01
9,9,51,15,23,2005-01-01
10,7,60,18,25,2005-04-01
11,54,55,16,23,2005-07-01
12,54,55,16,23,2005-10-01
13,54,55,16,23,2006-04-01
14,50,62,17,23,2008-04-01
15,50,62,17,23,2008-07-01
16,50,62,17,23,2008-10-01
17,54,55,16,23,2006-07-01
18,54,55,16,23,2006-10-01
19,50,62,17,23,2007-01-01
20,50,62,17,23,2007-04-01
21,50,62,17,23,2007-07-01
22,50,62,17,23,2007-10-01
23,50,62,17,23,2008-01-01
