ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,84,215,53,55,2003-07-01
2,84,235,58,59,2003-10-01
3,84,235,58,59,2004-01-01
4,83,249,65,60,2004-04-01
5,83,251,65,66,2004-07-01
6,83,261,68,68,2004-10-01
7,83,167,40,51,2003-04-01
8,78,247,61,68,2006-01-01
9,84,280,73,72,2005-01-01
10,73,238,61,66,2005-04-01
11,78,247,61,68,2005-07-01
12,78,247,61,68,2005-10-01
13,79,243,61,68,2006-04-01
14,80,252,64,70,2008-04-01
15,80,249,64,70,2008-07-01
16,80,249,64,70,2008-10-01
17,79,243,61,68,2006-07-01
18,79,243,61,68,2006-10-01
19,79,243,61,68,2007-01-01
20,79,243,61,68,2007-04-01
21,80,252,64,70,2007-07-01
22,80,252,64,70,2007-10-01
23,80,252,64,70,2008-01-01
